date;is_throttled;freq;temp;volt
Thu 26 Jan 20:14:50 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:14:52 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:14:54 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:14:57 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:14:59 CET 2023;throttled=0xe0008;1531Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:15:01 CET 2023;throttled=0xe0008;1531Mhz;temp=85.2'C;volt=0.8876V
Thu 26 Jan 20:15:03 CET 2023;throttled=0xe0008;600Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:15:05 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:15:07 CET 2023;throttled=0xe0008;1580Mhz;temp=85.2'C;volt=0.8700V
Thu 26 Jan 20:15:10 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8700V
Thu 26 Jan 20:15:12 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:15:14 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:15:16 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:15:19 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:15:21 CET 2023;throttled=0xe0008;1531Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:15:23 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:15:25 CET 2023;throttled=0xe0008;1580Mhz;temp=83.2'C;volt=0.8876V
Thu 26 Jan 20:15:27 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:15:29 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8984V
Thu 26 Jan 20:15:32 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:15:34 CET 2023;throttled=0xe0008;1629Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:15:36 CET 2023;throttled=0xe0008;1677Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:15:38 CET 2023;throttled=0xe0006;1629Mhz;temp=83.7'C;volt=0.8700V
Thu 26 Jan 20:15:40 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:15:43 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:15:45 CET 2023;throttled=0xe0008;1531Mhz;temp=83.2'C;volt=0.8700V
Thu 26 Jan 20:15:47 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8984V
Thu 26 Jan 20:15:49 CET 2023;throttled=0xe0008;1629Mhz;temp=83.7'C;volt=0.8876V
Thu 26 Jan 20:15:51 CET 2023;throttled=0xe0006;1531Mhz;temp=85.2'C;volt=0.8700V
Thu 26 Jan 20:15:54 CET 2023;throttled=0xe0008;1677Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:15:56 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8984V
Thu 26 Jan 20:15:58 CET 2023;throttled=0xe0008;1629Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:16:00 CET 2023;throttled=0xe0008;1531Mhz;temp=85.2'C;volt=0.8876V
Thu 26 Jan 20:16:02 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:16:05 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:07 CET 2023;throttled=0xe0008;1726Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:09 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:16:11 CET 2023;throttled=0xe0008;1580Mhz;temp=85.7'C;volt=0.8984V
Thu 26 Jan 20:16:13 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:16:16 CET 2023;throttled=0xe0006;1531Mhz;temp=84.7'C;volt=0.8700V
Thu 26 Jan 20:16:18 CET 2023;throttled=0xe0008;1677Mhz;temp=83.7'C;volt=0.8768V
Thu 26 Jan 20:16:20 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8984V
Thu 26 Jan 20:16:22 CET 2023;throttled=0xe0008;1629Mhz;temp=85.7'C;volt=0.8984V
Thu 26 Jan 20:16:24 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:16:27 CET 2023;throttled=0xe0008;1726Mhz;temp=84.7'C;volt=0.8876V
Thu 26 Jan 20:16:29 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:16:31 CET 2023;throttled=0xe0008;1531Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:33 CET 2023;throttled=0xe0008;1677Mhz;temp=83.2'C;volt=0.8768V
Thu 26 Jan 20:16:35 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:38 CET 2023;throttled=0xe0006;1531Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:16:40 CET 2023;throttled=0xe0008;1629Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:42 CET 2023;throttled=0xe0006;1726Mhz;temp=83.7'C;volt=0.9089V
Thu 26 Jan 20:16:44 CET 2023;throttled=0xe0008;1580Mhz;temp=85.2'C;volt=0.8984V
Thu 26 Jan 20:16:46 CET 2023;throttled=0xe0008;1580Mhz;temp=84.7'C;volt=0.8768V
Thu 26 Jan 20:16:49 CET 2023;throttled=0xe0008;600Mhz;temp=83.2'C;volt=0.9089V
Thu 26 Jan 20:16:51 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:16:53 CET 2023;throttled=0xe0008;1629Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:16:55 CET 2023;throttled=0xe0008;1580Mhz;temp=84.2'C;volt=0.8768V
Thu 26 Jan 20:16:57 CET 2023;throttled=0xe0008;1531Mhz;temp=84.2'C;volt=0.8876V
Thu 26 Jan 20:17:00 CET 2023;throttled=0xe0008;600Mhz;temp=84.2'C;volt=0.9197V
Thu 26 Jan 20:17:02 CET 2023;throttled=0xe0006;1531Mhz;temp=83.2'C;volt=0.8876V
